"ID","EMAIL_DOMAIN"
1,-.COM  -.COM
2,GMAI.COMN
3,GMAI.LCOM
4,GMAIL.CAOM
5,GMAIL.CCOM
6,GMAIL.CCOM.VN
7,GMAIL.CIM
8,GMAIL.CM
9,GMAIL.CMO
10,GMAIL.CO
11,GMAIL.COLM
12,GMAIL.COM.VM
13,GMAIL.COMA
14,GMAIL.COMB
15,GMAIL.COMC
16,GMAIL.COMJ
17,GMAIL.COMK
18,GMAIL.COML
19,GMAIL.COMM
20,GMAIL.COMN
21,GMAIL.COMO
22,GMAIL.COMT
23,GMAIL.COMV
24,GMAIL.COMZ
25,GMAIL.CON
26,GMAIL.CONM
27,GMAIL.COOM
28,GMAIL.COPM
29,GMAIL.CPM
30,GMAIL.CPOM
31,GMAIL.CVOM
32,GMAIL.CXOM
33,GMAIL.LCOM
34,GMAIL.OCM
35,GMAIL.OCOM
36,GMAIL.OM
37,GMAIL.PCOM
38,GMAIL.VOM
39,GMAIL.XCOM
40,GMAIL.XOM
41,GMAILC.COM
42,GMAILC.OM
43,GMAL.OM
44,GMIAL.OCM
45,GML.COMA
