"ID","PROVINCE_CODE"
1,"001"
2,"002"
3,"004"
4,"006"
5,"008"
6,"010"
7,"011"
8,"012"
9,"014"
10,"015"
11,"017"
12,"019"
13,"020"
14,"022"
15,"024"
16,"025"
17,"026"
18,"027"
19,"030"
20,"031"
21,"033"
22,"034"
23,"035"
24,"036"
25,"037"
26,"038"
27,"040"
28,"042"
29,"044"
30,"045"
31,"046"
32,"048"
33,"049"
34,"051"
35,"052"
36,"054"
37,"056"
38,"058"
39,"060"
40,"062"
41,"064"
42,"066"
43,"067"
44,"068"
45,"070"
46,"072"
47,"074"
48,"075"
49,"077"
50,"079"
51,"080"
52,"082"
53,"083"
54,"084"
55,"086"
56,"087"
57,"089"
58,"091"
59,"092"
60,"093"
61,"094"
62,"095"
63,"096"
